anime_id,Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
32240,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama,6.7,"Military, Comedy, Ecchi",Special,1,28-Oct-15,Unknown,Unknown,Unknown,Unknown,Unknown,9 min.,PG-13 - Teens 13 or older,4881,5624,7139,13,198,3484,225,215
32245,Kuromukuro,7.21,"Action, Sci-Fi, Mecha",TV,26,"Apr 7, 2016 to Sep 29, 2016",Spring 2016,"Sotsu, Pony Canyon, AT-X, KlockWorx, Tokyo MX, Medicos Entertainment, Infinite",Ponycan USA,P.A. Works,Original,24 min. per ep.,R - 17+ (violence & profanity),2745,1291,110580,379,11176,54926,6292,9121
32247,Tekkon Kinkreet Pilot,4.77,"Action, Adventure, Psychological, Supernatural",Special,1,1-Jan-99,Unknown,Unknown,Unknown,Unknown,Manga,4 min.,G - All Ages,10766,9915,1276,0,40,816,24,40
32248,Masamune Datenicle,5.95,"Action, Historical, Super Power, Samurai",ONA,6,"May 2, 2016 to Mar 30, 2018",Unknown,JTB Entertainment,Unknown,"Gainax, Gaina",Original,16 min. per ep.,PG-13 - Teens 13 or older,8384,7621,3251,4,380,217,130,161
32251,Mirai e no Kakehashi: Bridge for Future,6.51,Slice of Life,ONA,6,"Oct 1, 2015 to Aug 1, 2016",Unknown,Unknown,Unknown,Gaina,Original,30 sec. per ep.,G - All Ages,15599,11734,593,0,43,155,27,29
32255,Ashita Kirarin,6.51,"Drama, Kids",OVA,1,26-Mar-04,Unknown,Unknown,Unknown,Animation Staff Room,Original,26 min.,G - All Ages,13326,14544,219,0,9,70,2,43
32256,Mahou no Tenshi Creamy Mami: Zutto Kitto Motto,5.87,"Fantasy, Magic, Music, Romance, School, Sci-Fi, Shoujo",Music,1,25-Mar-98,Unknown,Unknown,Unknown,Studio Pierrot,Original,3 min.,G - All Ages,8632,12041,516,0,17,311,8,30
32257,Mahou no Tenshi Creamy Mami no Otogibanashi,6.51,"Fantasy, Magic, Shoujo",Special,1,28-May-14,Unknown,Unknown,Unknown,Unknown,Manga,3 min.,G - All Ages,15373,12870,370,0,22,125,9,39
32259,Mahou no Tenshi Creamy Mami: Perfect Memory,6.51,"Parody, Shoujo, Slice of Life",OVA,1,28-Mar-87,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,15374,12857,374,0,20,150,8,34
32262,Renai Boukun,6.7,"Harem, Comedy, Supernatural, Romance, Ecchi, School",TV,12,"Apr 7, 2017 to Jun 23, 2017",Spring 2017,"TV Tokyo, Sotsu, Half H.P Studio, DIVE II Entertainment, Avex Pictures",Funimation,EMT Squared,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,4915,548,264610,570,20597,162318,7763,19446
32264,Dear Brave,6.23,"Music, Romance",Music,1,18-Nov-15,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,7222,9699,1426,1,35,984,14,44
32267,Kowaremono: Risa The Animation,6.52,Hentai,OVA,1,1-Jan-16,Unknown,BOOTLEG,Unknown,Studio 1st,Manga,17 min.,Rx - Hentai,,5741,6797,27,405,4749,238,209
32268,Koyomimonogatari,7.68,"Comedy, Mystery, Supernatural",ONA,12,"Jan 10, 2016 to Mar 27, 2016",Unknown,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,14 min. per ep.,R - 17+ (violence & profanity),1081,824,182059,318,8384,120888,4269,1597
32271,Dies Irae,5.38,"Action, Military, Super Power, Magic",TV,11,"Oct 14, 2017 to Dec 23, 2017",Fall 2017,"Genco, DMM pictures, Greenwood, My Theater D.D., Brave Hearts, Crunchyroll SC Anime Fund","Funimation, Crunchyroll",A.C.G.T.,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),9958,1272,113012,177,9776,35826,3862,17612
32274,Ketsuekigata-kun! 4,6.34,Comedy,TV,12,"Jan 12, 2016 to Mar 29, 2016",Winter 2016,Unknown,Unknown,"feel., Zexcs",Web manga,2 min. per ep.,PG-13 - Teens 13 or older,6673,8172,2594,1,86,1535,56,107
32281,Kimi no Na wa.,8.96,"Romance, Supernatural, School, Drama",Movie,1,26-Aug-16,Unknown,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,1 hr. 46 min.,PG-13 - Teens 13 or older,16,11,1726660,71054,40773,1462143,4746,2463
32282,Shokugeki no Souma: Ni no Sara,8.21,"Ecchi, School, Shounen",TV,13,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"Dentsu, Lantis, Mainichi Broadcasting System, KlockWorx, Showgate, Shueisha",Sentai Filmworks,J.C.Staff,Manga,24 min. per ep.,PG-13 - Teens 13 or older,297,106,802974,3144,37811,671406,9753,7700
32287,Kanamewo,6.69,"Romance, Supernatural, Drama, Shoujo Ai",ONA,1,4-Nov-15,Unknown,Unknown,Unknown,Unknown,Original,5 min.,PG-13 - Teens 13 or older,4947,4494,12413,50,239,8805,73,59
32288,Jingle,4.85,Fantasy,ONA,1,24-Oct-10,Unknown,Unknown,Unknown,Unknown,Original,12 sec.,G - All Ages,10735,11599,623,0,11,523,3,21
32289,Anison Nippon,5.22,"Action, Sci-Fi, Music",ONA,1,5-Feb-14,Unknown,Unknown,Unknown,Unknown,Original,45 sec.,G - All Ages,10293,11062,774,0,18,635,4,38
32291,Kakegae no,5.03,Drama,ONA,1,22-Feb-12,Unknown,Unknown,Unknown,Unknown,Original,1 min.,PG - Children,10571,12777,385,0,13,267,2,21
32293,Kerorinpasu,4.67,Music,ONA,1,14-Feb-11,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10859,12964,361,0,6,298,2,17
32294,Ai (ONA),2.61,Romance,ONA,1,10-Aug-12,Unknown,Unknown,Unknown,Unknown,Original,7 sec.,G - All Ages,11068,7874,2970,6,31,2690,9,55
32295,Ai Sky Tree 21,4.56,Action,ONA,1,30-Aug-12,Unknown,Unknown,Unknown,Unknown,Original,15 sec.,G - All Ages,10916,11836,567,0,14,427,3,34
32296,Present made no Michinori,4.93,"Action, Music",ONA,1,22-Mar-09,Unknown,Unknown,Unknown,Unknown,Original,2 min.,PG - Children,10666,11852,560,0,14,463,2,23
32297,Tenkou Kotofumi,5.35,"Music, Fantasy",ONA,1,18-Sep-11,Unknown,Unknown,Unknown,Unknown,Original,1 min.,PG - Children,10043,12908,365,0,15,268,5,16
32298,Nakanaori,4.9,"Action, Samurai",ONA,1,2011,Unknown,Unknown,Unknown,Unknown,Original,49 sec.,PG - Children,10692,11973,532,1,9,443,3,22
32301,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.38,"Sci-Fi, Comedy, Police, Mecha",TV,12,"Jul 11, 2016 to Sep 26, 2016",Summer 2016,"Sotsu, Magic Capsule, flying DOG, Orange, Fields",Unknown,Production IMS,Original,24 min. per ep.,PG-13 - Teens 13 or older,6505,3809,18129,15,1052,9555,628,1177
32309,Tabi Machi Late Show,6.22,"Slice of Life, Drama",TV,4,"Jan 8, 2016 to Jan 29, 2016",Winter 2016,Ultra Super Pictures,Unknown,CoMix Wave Films,Original,7 min. per ep.,PG - Children,7265,5336,8046,7,332,5141,189,669
32311,Beautiful World,6.56,"Action, Drama, Mecha, Music, Sci-Fi",Music,1,2-Dec-14,Unknown,EMI,Unknown,Khara,Original,2 min.,G - All Ages,5582,6320,5311,6,62,4474,38,69
32313,Concrete Revolutio: Choujin Gensou - The Last Song,7.05,"Action, Sci-Fi, Mystery, Super Power, Demons, Supernatural, Drama, Fantasy",TV,11,"Apr 10, 2016 to Jun 17, 2016",Spring 2016,"Bandai Visual, Lantis, Tokyo MX, Animatic, Hakuhodo DY Media Partners, Anime Consortium Japan",Funimation,Bones,Original,24 min. per ep.,R+ - Mild Nudity,3454,2974,30062,76,1763,15297,1114,1252
32316,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama,6.05,"Comedy, Parody, Magic",Special,2,22-Mar-13,Unknown,Shochiku,Unknown,Unknown,Original,3 min. per ep.,PG-13 - Teens 13 or older,8054,10051,1208,0,63,397,29,40
32321,Lupin III (2015): Italian Game,6.47,"Action, Adventure, Comedy, Seinen",Special,1,8-Jan-16,Unknown,Telecom Animation Film,Unknown,TMS Entertainment,Original,1 hr. 31 min.,PG-13 - Teens 13 or older,6074,7144,3912,3,145,1837,76,72
32323,Aishen Qiaokeli-ing...,6.99,"Harem, Comedy, Romance, School",ONA,15,"Dec 2, 2015 to Mar 16, 2016",Unknown,Tencent Animation & Comics,Unknown,B.CMAY PICTURES,Web manga,14 min. per ep.,PG-13 - Teens 13 or older,3659,2112,55634,220,4603,27113,1681,2798
32324,Major 2nd,6.65,"Sports, Shounen",Special,1,11-Jul-16,Unknown,Shogakukan-Shueisha Productions,Unknown,Unknown,Manga,39 sec.,G - All Ages,5140,8510,2280,9,96,1311,34,85
32338,Yes! BanG_Dream!,6.59,Music,Music,1,24-Feb-16,Unknown,Bushiroad,Unknown,"Xebec, Issen",Original,6 min.,PG-13 - Teens 13 or older,5422,8003,2768,10,86,1765,26,70
32343,Subarashii Sekai,5.97,"Music, Fantasy",Music,1,10-Jun-13,Unknown,Unknown,Unknown,Unknown,Music,4 min.,G - All Ages,8319,12169,490,0,14,328,4,17
32344,Nana-iro Megane,5.11,Music,Music,1,2010,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10464,13870,270,0,6,211,1,17
32345,Celebration and Chorale,5.62,Music,Movie,1,"Sep, 2012",Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,9338,13292,318,0,13,224,2,25
32346,makemagic,5.41,"Music, Fantasy",Music,1,"Oct, 2011",Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,9902,11970,530,0,11,360,9,30
32349,Hot Minute: Gudetama,5.84,"Comedy, Kids",Special,1,2-Nov-15,Unknown,Sanrio,Unknown,Unknown,Other,1 min.,G - All Ages,8722,11018,785,1,15,566,11,33
32353,Bonobono (TV 2016),6.36,"Slice of Life, Comedy",TV,Unknown,"Apr 2, 2016 to ?",Spring 2016,"Fuji TV, Glovision",Unknown,Eiken,4-koma manga,5 min.,G - All Ages,6585,8479,2342,19,661,1,330,603
32355,Toshi Densetsu Series,7.39,Hentai,OVA,6,"Jan 22, 2016 to Sep 7, 2018",Unknown,Mary Jane,Unknown,Unknown,Manga,19 min. per ep.,Rx - Hentai,,3418,23031,303,5862,8578,1732,1107
32359,Pokemon XY&Z: Subete no Nazo wo Tokiakase!,6.56,"Action, Adventure, Fantasy, Kids",Special,1,31-Dec-15,Unknown,Unknown,Unknown,OLM,Original,51 min.,PG - Children,5555,7575,3315,1,63,2208,68,89
